Every,1
day,2
should,7
be,13
a,41
half,1
.,112
Took,1
the,68
afternoon,4
off,2
to,61
hit,1
dentist,1
",",112
and,31
while,1
I,83
was,10
out,12
managed,1
get,12
my,39
oil,1
changed,2
too,4
Remember,1
that,46
business,2
with,14
car,2
dealership,1
this,16
winter,1
?,11
Well,2
consider,1
epilogue,1
The,7
friendly,1
fellas,1
at,12
Valvoline,1
Instant,1
Oil,1
Change,1
on,16
Snelling,1
were,2
nice,3
enough,1
notice,2
dipstick,2
broken,1
metal,1
piece,1
far,1
down,2
in,23
its,2
little,5
tube,1
pull,1
Looks,1
like,2
'm,22
going,10
need,3
magnet,1
Damn,1
you,17
Kline,1
Nissan,1
daaaaaaammmnnn,1
yooouuuu,1
...,15
Today,1
let,1
boss,1
know,4
've,13
submitted,3
Corps,3
application,9
news,2
has,6
been,8
greeted,1
by,8
everyone,1
company,4
level,1
of,42
enthusiasm,1
really,7
floors,1
me,13
back,4
deck,2
finally,1
cleared,1
construction,1
working,3
place,1
This,4
for,19
anyone,4
who,3
's,20
interested,1
consists,1
mainly,1
one,2
guy,1
spends,1
his,3
days,1
cursing,1
crew,1
Spanish-speaking,1
laborers,1
Construction,1
began,1
around,2
time,3
Nixon,1
getting,3
office,3
Consider,1
ball,1
rolling,1
health,1
review,1
made,1
myself,3
available,1
assignment,1
starting,2
March,1
2005,1
environment,1
again,2
Thursday,3
Cry,1
Oh,3
well,4
think,6
hitting,2
submit,1
button,2
tomorrow,1
might,1
actually,3
make,3
return,2
bearable,1
still,3
not,9
making,3
any,2
headway,1
family,2
In,2
fact,3
Mom,4
rallying,1
troops,1
(,7
aka,1
aunts,1
uncles,1
),7
against,2
Meanwhile,1
friends,1
have,8
supportive,1
idea,1
Thanks,1
all,9
It,3
frustrating,1
Here,2
want,3
into,3
world,1
pinch,1
adventure,1
maybe,2
help,2
some,2
people,3
process,2
earning,1
resentment,1
entire,2
freakin,1
',1
because,4
can,3
only,5
hope,2
over,1
cooler,1
heads,2
will,4
prevail,1
There,5
now,2
nationwide,1
girlfriend,1
hunt,1
yours,1
truly,1
hell,1
Mexico,1
ties,1
shit,1
could,3
go,4
international,2
obviously,1
cure,1
foolishness,1
is,16
laid,1
buy,1
something,5
Problem,1
solved,1
Life,3
so,1
sad,1
Had,1
spot,1
Sunday,4
night,6
insomnia,2
fueled,1
mostly,1
discussions,1
parents,3
yesterday,1
Thankfully,1
Jack,1
Daniels,1
helped,1
Whoever,1
charge,1
late,1
programming,1
shot,1
an,5
uncommon,1
phenomenon,1
TV,1
needs,1
there,6
their,3
hour,2
s,1
!,5
Jerks,1
Two,1
points,1
identify,1
bit,1
dialogue,1
favorite,1
bits,1
Hint,1
:,9
Director,1
Steven,1
Soderbergh,1
insists,1
it,12
meaningless,1
Back,2
About,2
Schmidt,3
moment,1
just,2
love,2
name,1
Does,1
else,1
feel,1
same,3
way,5
So,3
many,3
superfluous,1
letters,1
kooky,1
``,6
c,1
'',6
silent,1
d,1
Along,1
those,2
lines,1
took,1
Michael,1
Moore,1
memorize,1
spelling,1
Fahrenheit,1
Yes,1
adhering,1
own,1
rule,1
periods,1
do,4
n't,11
inside,1
quotation,1
marks,1
are,4
try,2
cook,1
lest,1
we,2
end,2
up,6
Axl,2
Bonfire,1
Grill,1
street,1
Let,1
see,4
corn,1
cob,1
fresh,1
from,3
grimy,1
stove-top,1
or,3
perhaps,1
walleye,1
salad,1
Decisions,1
decisions,1
Pretty,1
good,4
A,1
vexed,1
ending,1
lazy,1
interpret,1
ambiguity,1
Finished,1
most,1
today,1
essay,3
questions,3
All,1
remains,1
inform,1
references,1
reference,2
status,1
very,5
mean,1
letting,1
planning,1
leave,1
6,1
mos,1
year,2
sure,5
how,2
they,3
'll,3
react,1
but,10
concerned,2
either,2
Good,1
certainly,1
am,2
giving,1
them,3
least,3
six,1
months,4
At,1
point,1
thing,1
gives,1
pause,1
Sydney,2
she,4
home,1
few,5
years,4
whoever,1
gets,1
her,2
knows,1
what,4
're,2
cat,1
lot,1
ways,1
clean,1
mannered,1
sweet,1
as,4
tiny,1
meow,1
That,2
said,2
likes,1
scratch,1
stuff,2
probably,3
check,1
before,1
expose,1
furniture,1
dorm-rated,1
spent,2
last,4
paging,1
through,2
notes,1
about,4
say,3
longer,1
portions,1
being,1
asked,1
standard,1
job,3
interview,1
University,1
Basically,1
handle,1
diversity,1
why,1
work,3
here,5
As,1
short,1
answers,1
decided,2
whether,1
page,3
dedicated,1
previous,1
volunteer,1
experience,2
apart,1
pledge,1
doing,1
tutoring,1
Minnesota,1
Literacy,1
Council,1
completely,1
blank,1
history,1
says,2
10,1
Ten,1
ago,2
16,1
Best,1
Buy,1
hated,1
note,1
though,1
saw,1
old,1
manager,1
Audio,2
King,2
when,3
called,2
Then,2
Media,1
Play,1
then,2
Hollywood,1
Video,1
ca,1
believe,1
aid,1
organization,1
would,5
find,2
ability,1
upsell,1
Packard,1
Bells,1
section,1
Femalien,1
resides,1
remotely,1
interesting,1
How,1
remainder,1
Watched,1
Fog,1
War,1
amazing,1
Errol,1
Morris,1
doc,1
Robert,1
McNamara,1
went,1
sleep,2
had,2
strange,1
dreams,1
involving,1
Holly,1
Hunter,1
pretty,3
obvious,1
great,2
learner,1
lessons,1
writing,1
umpteeth,1
first,2
blog,2
entry,1
life,3
Someone,1
somewhere,1
close,2
open,1
domain,1
expecting,1
handsome,1
video,1
game,1
Cratchit,1
digging,1
sand,1
trap,1
blogging,1
track,1
Cue,1
blood,1
squib,1
explosions,1
movement,1
Carmina,1
Burana,1
But,2
wait,2
man,1
baby,1
Things,1
different,3
swear,1
right,3
away,1
eventually,1
feeling,2
more,3
than,4
anxious,1
past,2
web,1
developer,1
sort,1
burned,1
'd,3
closer,1
Great,1
Goal,2
shooting,1
exactly,1
never,1
current,1
course,1
Web,1
development,2
sometimes,1
impression,1
field,1
driven,1
perfectionism,1
genuine,1
no,1
secret,1
spoken,1
--,3
joining,1
Peace,3
sitting,2
coffee,1
table,1
pen,2
filled,2
blanks,2
big,1
demand,1
brainpower,1
muster,1
after,1
8-something,1
hours,2
mind-numbing,1
promise,1
power,1
16+,1
pages,2
form,1
mail,1
next,1
week,3
even,1
fans,1
Chicago,1
able,2
hear,1
mother,2
cries,1
hears,1
reason,1
existing,1
reset,1
Dramatic,1
Anyway,1
My,2
forms,1
trickled,1
left,1
weekend,2
buck,1
cross-cultural,1
adaptation,1
struggling,1
What,1
significant,1
adapting,1
culture,1
You,2
three,1
month,1
stint,1
Europe,1
question,1
kind,1
easy,1
answer,1
does,2
tourism,1
turns,1
lend,1
itself,1
forcing,1
adapt,1
anything,1
other,2
washing,1
your,4
clothes,1
sink,1
wish,1
needed,1
wipe,1
butt,1
leaf,1
once,1
case,1
hence,1
PC,3
story,1
huge,1
envelope,1
sent,1
morning,1
education,1
addendum,2
filling,1
pathetic-looking,1
effort,1
IT,1
hand,1
five,1
long,1
Huzzah,1
rather,1
spend,1
two,1
front,1
computer,1
Whateverstan,1
limit,1
placement,1
opportunities,1
Now,1
nomination,1
On,1
'rents,1
told,2
met,1
recruiter,2
Their,1
did,2
explode,1
They,1
key,1
light,1
hair,1
fire,1
Still,1
Dad,1
mistake,1
stressed,1
importance,1
optimism,1
opposed,1
flipped-out,1
irrational,1
fatalism,1
DNC,1
Politics,1
Feh,1
take,1
politics,1
Dear,2
Republicans,1
George,1
W.,1
Bush,1
best,2
got,2
Are,2
fucking,2
serious,2
Democrats,1
John,1
Kerry,1
may,1
regular,1
Hey,1
gave,1
guys,1
vacation,1
Hope,1
enjoyed,1
Met,1
Friday,1
above,1
Kieran,1
Answered,1
bunch,2
types,1
interviewsm,1
fingerprinted,1
soon-to-be-generated,1
FBI,1
file,1
goes,1
backup,1
plan,1
becoming,1
jewel,1
thief,1
Managed,1
skirt,1
conversation,1
relating,1
visited,1
Actually,1
yet,1
started,1
thinking,1
seriously,1
gotten,1
loaded,1
anecdotes,1
Casualties,1
series,2
articles,1
ran,1
Dayton,1
Daily,1
News,1
Arguing,1
ruin,1
lunch,1
break,1
thereafter,1
Hoping,1
rest,1
paperwork,1
After,1
ready,1
invasive,1
medical,1
check-ups,1
Joy,1
